work_type,remote_share
CONTRACT,0.2612032681356771
INTERNSHIP,0.2136317395727365
VOLUNTEER,0.21352313167259787
OTHER,0.15605749486652978
FULL_TIME,0.11133037828647763
TEMPORARY,0.07142857142857142
PART_TIME,0.060746699669967
